Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001106,Male,Yes,0,Graduate,No,3185,2067.0,,360.0,1.0,Urban,Y
LP001640,Male,Yes,0,Graduate,Yes,54805,4750.0,156.0,360.0,1.0,Rural,Y
LP001579,Male,No,0,Graduate,No,3131,0.0,81.9,480.0,0.0,Urban,N
LP001238,Male,Yes,3+,Not Graduate,Yes,9940,0.0,162.5,60.0,1.0,Urban,Y
LP001669,Female,No,0,Not Graduate,No,2669,2365.0,156.0,,1.0,Urban,Y
LP002237,Male,No,1,Graduate,,5133,0.0,146.9,180.0,1.0,Urban,Y
LP001844,Male,No,0,Graduate,Yes,22750,0.0,249.60000000000002,360.0,0.0,Urban,N
LP001194,Male,Yes,2,Graduate,No,3791,1167.0,126.10000000000001,360.0,1.0,Semiurban,Y
LP002444,Male,No,1,Not Graduate,Yes,3876,1542.0,247.0,360.0,,Urban,N
LP001608,Male,Yes,2,Graduate,No,2863,1619.0,131.3,360.0,1.0,Urban,Y
LP001743,Male,Yes,2,Graduate,No,5612,1717.0,150.8,360.0,1.0,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,4699,2859.0,187.20000000000002,360.0,1.0,Rural,Y
LP002178,Male,Yes,0,Graduate,No,4218,3033.0,123.5,300.0,,Semiurban,Y
LP001811,Male,Yes,0,Not Graduate,No,4768,4417.0,159.9,360.0,1.0,Urban,Y
LP001720,Male,Yes,3+,Not Graduate,No,5390,983.0,130.0,360.0,1.0,Urban,Y
LP001657,Male,Yes,0,Not Graduate,No,8446,0.0,208.0,360.0,1.0,Urban,N
LP002364,Male,Yes,0,Graduate,No,20832,0.0,124.80000000000001,360.0,1.0,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,10724,0.0,135.20000000000002,360.0,0.0,Urban,N
LP002622,Male,Yes,2,Graduate,No,4914,4416.0,315.90000000000003,360.0,1.0,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,4699,2859.0,187.20000000000002,360.0,1.0,Urban,Y
LP002931,Male,Yes,2,Graduate,Yes,8400,0.0,266.5,240.0,1.0,Urban,N
LP001144,Male,Yes,0,Graduate,No,8149,0.0,187.20000000000002,360.0,1.0,Urban,Y
LP002571,Male,No,0,Not Graduate,No,5167,0.0,143.0,360.0,1.0,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,3652,3449.0,214.5,180.0,0.0,Urban,N
LP002716,Male,No,0,Not Graduate,No,9496,0.0,169.0,360.0,1.0,Urban,Y
LP001250,Male,Yes,3+,Not Graduate,No,6657,0.0,123.5,,0.0,Urban,N
LP001560,Male,Yes,0,Not Graduate,No,2608,1041.0,127.4,360.0,1.0,Urban,Y
LP001904,Male,Yes,0,Graduate,No,4344,1300.0,104.0,360.0,1.0,Urban,Y
LP001792,Male,Yes,1,Graduate,No,4641,0.0,124.80000000000001,360.0,1.0,Urban,Y
LP001580,Male,Yes,2,Graduate,No,11200,0.0,260.0,360.0,1.0,Urban,Y
LP002720,Male,Yes,3+,Graduate,No,5993,0.0,130.0,360.0,1.0,Urban,Y
LP002141,Male,Yes,3+,Graduate,No,3732,2083.0,123.5,360.0,1.0,Urban,Y
LP001854,Male,Yes,3+,Graduate,No,7349,0.0,122.2,360.0,1.0,Urban,N
LP002369,Male,Yes,0,Graduate,No,4087,16.12000084,113.10000000000001,360.0,1.0,Rural,Y
LP001398,Male,No,0,Graduate,,7070,0.0,153.4,360.0,1.0,Rural,Y
LP001027,Male,Yes,2,Graduate,,3500,1840.0,141.70000000000002,360.0,1.0,Semiurban,Y
LP001326,Male,No,0,Graduate,,9494,0.0,,360.0,,Urban,N
LP001954,Female,Yes,1,Graduate,No,6532,0.0,175.5,360.0,1.0,Urban,Y
LP001432,Male,Yes,2,Graduate,No,4139,0.0,105.3,360.0,1.0,Urban,Y
LP001883,Female,No,0,Graduate,,4785,0.0,175.5,360.0,1.0,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,1400,3022.0,143.0,360.0,1.0,Urban,N
LP002478,,Yes,0,Graduate,Yes,2916,4083.0,208.0,360.0,,Urban,Y
LP002541,Male,Yes,0,Graduate,No,15166,0.0,304.2,360.0,1.0,Urban,Y
LP001289,Male,No,0,Graduate,No,11992,0.0,273.0,360.0,1.0,Semiurban,Y
LP002555,Male,Yes,2,Graduate,Yes,6416,2083.0,208.0,360.0,1.0,Urban,Y
LP002467,Male,Yes,0,Graduate,No,5191,2569.0,224.9,360.0,1.0,Urban,N
LP002622,Male,Yes,2,Graduate,No,4914,4416.0,315.90000000000003,360.0,1.0,Urban,Y
LP001002,Male,No,0,Graduate,No,8188,0.0,,360.0,1.0,Urban,Y
LP002429,Male,Yes,1,Graduate,Yes,4852,1210.0,169.0,360.0,1.0,Urban,Y
LP002693,Male,Yes,2,Graduate,Yes,11127,7166.0,624.0,360.0,1.0,Urban,Y
LP001398,Male,No,0,Graduate,,7070,0.0,153.4,360.0,1.0,Rural,Y
